ID,Answer
0,磷酸化酶
1,縱貫公路系統
2,六茶六酒
3,唐王朝滅亡之後
4,防止地方割據
5,史達林時期
6,權知開封府事
7,營口市
8,摩利爾法學院
9,細胞壁
10,2004年5月1日
11,蔣委員長會見記
12,催化劑
13,查士丁尼一世
14,荊州
15,2011年
16,非洲
17,擁有世界自然遺產
18,2050年
19,西南
20,15萬
21,全國人大
22,耶穌會
23,合成代謝反應
24,跳躍運動
25,貝里斯
26,8個
27,君士坦丁大帝
28,新桂系
29,近300萬平方公里
30,漢末大量社會名士
31,空降戰役
32,格里高利
33,數位化字體
34,周磐
35,1924年
36,飄色巡遊
37,韓國
38,社會生態學意識形態
39,農業
40,30處
41,三茶兩飯一宵夜
42,摩西律法
43,諾曼人
44,2007年
45,38.1釐米
46,19世紀
47,28個
48,波動傳播
49,多數黨
50,手套
51,主任
52,段文昌
53,1964年
54,加利福尼亞州舊金山
55,[UNK]草浚泉
56,席哈克略王朝
57,柏林
58,因為土地有限
59,爵士鼓
60,南歐
61,三國食貨志
62,親任官
63,道宣
64,纏卷的尾巴
65,柑桔
66,永野修身
67,努爾哈赤
68,君主制
69,反戰派系
70,清朝
71,安聯球場
72,衞生局
73,疆域
74,安茹公爵
75,1648年
76,1973年
77,周禮盡在魯矣
78,550
79,三樓
80,2013年3月
81,奇首可汗
82,豎琴
83,海嘯預警系統
84,福建籍
85,2008年
86,外省人
87,基督教之前
88,左傳
89,准宗教現象
90,地球公轉
91,英法北美戰爭
92,有許多人所做的工作，都可以歸類為動畫作品的創作
93,1976年
94,1000
95,防止動亂的作用
96,1968年
97,定格動畫
98,新北市
99,卡特
100,將軍墳
101,印度洋孟加拉灣
102,中世紀
103,光緒二十一年
104,卡爾馬克思
105,盈利組織
106,熊廷弼
107,一九七一年
108,日本投降
109,287所
110,20所
111,中國美的集團
112,9個
113,乙酸生成作用
114,33歲
115,保守派
116,早在西元前7世紀這裡已是該地區最早的高等學校所在地
117,王安石
118,1964年
119,亞拉姆語
120,朝鮮王朝後期
121,太湖片
122,布爾什維克
123,玻恩
124,威爾斯
125,缺乏細胞壁
126,1950年代
127,曼徹斯特市球場
128,朱[UNK]
129,最好
130,2012年
131,胡族文化
132,37.9%
133,自然科學
134,全國人民代表大會
135,青壯年
136,第二次世界大戰
137,域
138,中原
139,春節
140,年度射擊測驗
141,1995年
142,先以水墨鉤勒皴染為基礎，加上以赭石為主色的淡彩山水畫
143,施萊爾馬赫
144,廣州市歷史文化名城保護規劃
145,他們不實行墓葬
146,2012年
147,庫氏裸蕨
148,1969年
149,長春
150,堅尼地城站
151,北美洲
152,光緒二十五年
153,新教勢力日漸龐大，二是土耳其人在東方虎視眈眈準備席捲歐洲大陸
154,清析度
155,馬卡比起義
156,1900年
157,古代印度史
158,長波輻射
159,1950年
160,1906公里
161,皇帝
162,制度
163,胚種論
164,1919年
165,26億圓
166,柬埔寨國王吉哲塔二世
167,部族
168,朝鮮
169,副熱帶高壓
170,憲法
171,漁米之鄉
172,1967年
173,睪固酮
174,2001年
175,資源動員理論
176,國立大學
177,1960年
178,39.9兆公里
179,10月
180,2004年
181,莎士比亞
182,東南亞
183,吉尼係數
184,朱棣
185,二次世界大戰
186,什列斯威及霍爾斯坦兩省的管轄權
187,法國
188,去民政局登記所屬的縣區
189,赫爾伯特·查普曼
190,販賣黑奴
191,音節真正發音時
192,2011年
193,4萬年前
194,1906年
195,1937
196,三溪園
197,國民年滿18歲，具有多國居民身分
198,18世紀
199,1869年
200,卡特
201,這個單詞發音時是否插入了聲門塞音
202,1970年
203,吳江區
204,神廟建築
205,其生前逝後各種瑞相酷似佛經中記載的地藏菩薩
206,中國
207,赤崎勇
208,受到了諸多強大外敵的衝擊
209,巴西足球協會
210,改進電視專案小組
211,特拉維夫
212,農業
213,比薩會議
214,地方行政
215,棕櫚樹
216,3468戶
217,洛東江
218,穆罕默德
219,授權非洲聯盟在索馬利亞部署維和部隊
220,海上絲綢之路
221,二元投票制度
222,嗣位法令
223,德屬西南非洲
224,多明尼加比索
225,水鐘
226,飲食文化
227,832米
228,中華人民共和國
229,文慶
230,9世紀
231,共生關係
232,版權
233,少年班
234,實踐科學
235,古典時期
236,小腸
237,文理學院
238,《樂府詩集》
239,44種
240,梯里達底一世
241,道德
242,6600萬年
243,1970年代
244,361萬
245,俄羅斯
246,主要的小行星帶內的天體
247,數十億歐元
248,恆河猴
249,古東斯拉夫語
250,1947年
251,史達林
252,下薩克森邦
253,古羅馬建築
254,向社會公開徵求意見
255,統一黨
256,##30米
257,少雨
258,振動
259,白人
260,保持與政府的相對獨立
261,過度放牧
262,塔西陀
263,《綏靖區土地處理辦法》
264,1900年
265,如何在作戰中獲得勝利
266,吳淞江
267,美國
268,阿爾及利亞
269,1935年
270,亨利珀賽爾
271,成宗
272,2013年4月
273,東正教
274,劉璋
275,《埃涅阿斯紀》
276,15世紀
277,脖子
278,「知新致遠崇實篤行」
279,努爾哈赤
280,薛丁格
281,美國
282,仁慈博愛
283,布爾什維克黨
284,希臘文
285,2012年
286,減少
287,1804年
288,木星
289,無錫古梅里
290,國務卿約翰昆西亞當斯
291,空氣的上升運動，造成氣溫下降
292,沒有
293,約翰克恩
294,1949年
295,《神秘蠟像館》
296,宣統三年
297,1205米
298,亞洲太平洋經濟合作會議
299,庫齊烏斯
300,破壞選擇
301,2008年
302,西敏市
303,層次模型
304,米爾頓·傅利曼
305,叢枝菌根
306,無政府和平主義
307,物價指數
308,香港中文大學
309,繞土星物質
310,《北京條約》
311,無錫東站
312,最安全
313,徐特立
314,羅蒙索諾夫
315,2017年
316,蘇聯專業化
317,母親
318,平原
319,電腦
320,香港
321,早稻田大學
322,蘇德互不侵犯條約
323,亞美尼亞人
324,80
325,偏義複詞
326,大村純忠
327,7天
328,狒狒蜘蛛
329,《中英關於取消英國在華治外法權及其有關特權條約》
330,第三
331,陳清福
332,天可汗
333,美國勞工聯合會
334,弘前市
335,氫氣
336,拉丁字母
337,國王近身侍衛
338,22座
339,沙加緬度河
340,1997年6月30日
341,8%
342,文章節義之邦
343,天文年編號法
344,學生會
345,下視丘滲透壓感應器
346,文治元年
347,757年
348,俄羅斯
349,被壓迫的
350,牛津路
351,荷治時期
352,天主教
353,臺灣省議會
354,長頸鹿科
355,4秒
356,介電氣體
357,邁克布朗
358,廢諸州總管府
359,重視公共建築
360,美國國家航空暨太空總署
361,法國
362,1800年
363,409米
364,美軍
365,第一次
366,觸覺功能
367,1249年
368,1936年
369,1922年
370,96所
371,徐州市區
372,正字法改革
373,臨安市
374,通過將菸鹼醯胺腺嘌呤二核苷酸還原為菸鹼醯胺腺嘌呤二核苷酸
375,「[UNK]」
376,蔣中正
377,第二年
378,南美洲國家聯盟
379,國際羽球總會
380,2007年
381,1530年
382,佛日山脈
383,商業銀行
384,陳獨秀
385,端午節
386,邊境問題
387,117年
388,司馬懿
389,漢族
390,溫哥華港
391,臺南市
392,孫處玄
393,戰國時期
394,憲法
395,[UNK]+6
396,1908年
397,中原地區發生天災饑荒
398,中高階
399,暖溫帶大陸性季風
400,憲法慣例
401,1928年
402,1928年
403,澳洲工黨
404,上海至嘉定高速公路
405,1652年
406,內陸的原住民
407,齊齊
408,威廉二世
409,天命三年
410,氮
411,生田神社
412,馬拉開波盆地油田
413,維德角半島
414,《中華民國憲法》第21條
415,質量
416,1980年代初期
417,小布希
418,會眾制
419,邦特之地
420,第一期
421,1900年
422,古典自由主義哲學
423,1528年
424,陸軍
425,金融穩定理事會
426,24
427,玉山山脈
428,1963年
429,1500年
430,仰式
431,15輛
432,《世鑒日報》
433,十二伊瑪目派
434,後漢書·東夷·高句麗傳
435,電腦
436,1945年
437,芬蘭
438,鼻
439,1998年
440,11世紀
441,奧軍正在攻擊其右翼
442,載淳
443,袁世凱
444,塞爾柱
445,金太宗病危將死
446,若望教宗
447,2017年
448,1994-95年球季
449,李壬癸
450,都柏林市政廳
451,71%
452,張春帆
453,露絲哈伯德
454,漢族
455,上海
456,委員會事務
457,第二次
458,友好城市
459,第三段沙洲平原
460,85分貝
461,都市化的程度
462,570餘種
463,52.5萬平方公里
464,紅燈亮起時
465,東宮學士
466,介電極限
467,保定
468,尿素
469,克希荷夫
470,西高東低
471,太空探測衛星
472,太陽20分之一
473,工業社會
474,1
475,五條
476,1583年
477,千葉縣
478,秦朝
479,中國科學技術大學
480,1873年
481,大齋期
482,1895年
483,濁音
484,朝鮮半島
485,士
486,中華人民共和國成立後
487,大型商場
488,錢其琛
489,倫敦證券交易所
490,東海
491,前42年
492,馬丁·巴舍爾
493,漢城奧運會
494,通過電化學梯度所產生的驅動力
495,英式文化
496,米字型
497,江南
498,白人優越主義
499,中華民國政府
500,戈亞尼亞
501,東部
502,1905年
503,亨利·卡文迪
504,和田洋一
505,6所
506,香港
507,《人民日報》
508,兩伊戰爭
509,粵語
510,暹羅
511,直轄市
512,5年
513,5個
514,1792年鑄幣法案
515,林彪當著聶榮臻、左權、羅瑞卿、朱瑞的面打電話給彭德懷
516,1880年
517,華陽黑水惟梁州
518,阿爾弗雷德大帝
519,最高人民檢察院
520,北美洲
521,殷
522,王安石
523,4月6日
524,戴麟趾
525,古羅馬時期
526,桑寧代爾協定》
527,亞熱帶氣候
528,19世紀
529,資訊科技
530,2879億
531,西南部土地區劃整理事業
532,1945年
533,自由對位式複音合唱
534,史記周本紀
535,[UNK]
536,2001年6月
537,文化大革命
538,監警會
539,跳下船至水裡撈月而溺死
540,楊尚昆
541,徐州
542,數十億
543,爬行動物
544,三聯書店
545,覺昌安
546,台灣
547,持續進修
548,北
549,海珠慘案
550,蘇聯現代修正主義
551,拜占庭的圖書館
552,瑞立散射
553,聖馬丁島
554,青島
555,可食用
556,避痘所
557,卡日曲
558,京杭大運河
559,京畿路
560,亞當斯密
561,遺傳物質
562,禮儀/人類學用法
563,桃樂絲·豪厄爾·羅登
564,拉丁裔
565,物流管理
566,1294年
567,新疆吐魯番高昌故城
568,舊金山和約
569,鳩摩羅什時代
570,亞馬遜
571,秦漢時代
572,唐高祖
573,1950年代
574,美國
575,李奧納多·達文西
576,戈爾諾-阿爾泰斯克
577,物流系統
578,馬鈴薯
579,18人中，有白志東、蘇淳、李尚志、范洪義等7人
580,私家車
581,史達林
582,芮氏規模5
583,2013年2月5日
584,查士丁尼
585,新教
586,由市民直選
587,凡爾登條約
588,海洛因人士
589,87歲
590,英國
591,主權移交之後
592,14號線
593,港府儲備入市
594,科菲安南
595,徐州經濟技術開發區
596,阿隆索德奧赫達
597,西高東低
598,[UNK]髮
599,1945年
600,太陽能
601,機器人
602,國民議會
603,艾伯丁裂谷山脈
604,許萊登
605,安息帝國
606,雅典
607,高宗
608,天主教
609,聖希爾妲書院
610,微觀前兆
611,1997年
612,朱熹
613,伊斯蘭教
614,英國
615,南伐
616,瑟法地猶太人
617,憲司
618,維持基因的完整性
619,1922年
620,和田洋一
621,西元600年
622,紅樓夢考證
623,真主
624,1344年
625,文化大革命期間
626,光宗
627,南加大
628,弗里德里希·艾伯特
629,阿育王
630,北約
631,韓國
632,長篇諷刺小說
633,「保人民種類之自立」
634,胡大海
635,一種利用有價之物，來競爭輸贏的遊戲
636,1200000人
637,大西洋流域
638,環球創新醫學工程設計大賽
639,1883年
640,工黨
641,魚米之鄉
642,25米以上
643,藏傳佛教
644,衛星
645,為僧團制定法規
646,急性傳染病
647,上海
648,絕滅
649,還原法
650,2100711人
651,20世紀初
652,1911年
653,宋朝
654,1月10日
655,北元
656,律分五部
657,惠州
658,欽州市
659,執政黨
660,填海
661,17周歲
662,中部
663,紋章
664,計程車
665,四年
666,南日將軍
667,荒廢兵事
668,8月8日
669,可見光
670,漢語
671,嘎頓湖
672,1952年
673,新界土地契約問題
674,火箭推力
675,1096年
676,港督軒尼詩
677,茶坑鄉
678,香港中文大學
679,廢刀令
680,價值觀
681,希臘化時期
682,保加利亞
683,4979平方公里
684,1699年
685,強姦之都
686,1861年
687,1979年
688,中華人民共和國成立後
689,伍茲鋼
690,擁有美麗的自然風光和為數眾多的人類文化遺產
691,1935年
692,中膠層
693,生平
694,燕山君
695,1806年
696,1545公尺
697,1908年
698,信仰
699,耿精忠
700,關係式
701,西班牙南部
702,公元28年
703,13萬公里
704,降落軌道段軌道
705,2013年
706,紐西蘭
707,所屬的軍隊
708,哥倫比亞工會
709,第二次世界大戰
710,金石並用時代
711,彭德懷
712,地中海型氣候帶
713,東南部
714,為解決嚴重的交通堵塞問題
715,1918年
716,20世紀
717,氣化潛熱
718,中世紀盛期
719,世界自然基金會
720,毛澤東
721,南傳佛教地區
722,日本
723,國民議會
724,法國大革命
725,梁啟超
726,2000年
727,大規劃
728,南
729,香港古物古蹟辦事處
730,《新小說》
731,猶太教
732,單鞭毛真核生物
733,塔拉特·阿菲菲
734,非洲
735,區分於仿英式的香港大學
736,「重整分台發射台土地設施」
737,100萬港元
738,裂谷底層水
739,沒有
740,法國
741,安陽新區
742,英語
743,波隆那大學
744,方濟沙勿略
745,十六世紀
746,卡斯納法
747,1925年
748,臨安
749,投訴及內部調查科
750,2010年
751,分子生物學
752,生病
753,同義詞
754,政府管理
755,1896年4月5日
756,十塊
757,無牌飼養
758,門捷列夫
759,路易斯·華納
760,勞厄
761,柑橘園
762,清朝控制
763,大片紅色藻類
764,寶安縣
765,玄武岩
766,超能力
767,無障礙環境
768,夸克
769,終端消費者不會想要80386所提供的強大運算能力
770,自由性
771,2000年
772,不列顛島
773,一個完整細胞中的所有代謝
774,1758年
775,民視
776,咖啡
777,當天作一次性使用車票
778,1945年
779,1858年
780,三澤市
781,三年
782,由於鐵路和倫敦地鐵的到來
783,印尼人
784,威廉巴頓羅傑斯
785,八十年戰爭
786,北非中部
787,4575小時
788,黃河
789,彼得·諾貝爾
790,1924年
791,葵涌及青衣區議會
792,狼
793,有雜交的傾向
794,哈馬斯
795,柯本氣候分類法
796,蔣琬
797,位於近拱點
798,太陽伴星
799,保育生物學
800,殘虐
801,河北省
802,1860年
803,洛陽
804,遊牧大法典
805,王菲
806,萬曆元年
807,中央大街
808,112.46平方公里
809,晉朝
810,5月
811,1978年
812,北方平原
813,賽德娜的表面太過寒冷
814,福州
815,雅利安人
816,海膽
817,商業活動
818,古代理想官制
819,客家人
820,歷史
821,海南省
822,真核生物域
823,「隨時就緒」
824,志願軍數個主力師也在美軍優勢火力與後勤不繼之下遭到需休整2-3個月的損害
825,普通混凝土
826,2007年
827,靜力學
828,費歇爾
829,雍正元年
830,糧食勸徵隊
831,少典
832,化學屬性
833,研究型大學
834,1928年
835,摩亨佐-達羅遺址
836,人們身處太過惡劣的環境
837,卡斯特立翁省
838,1949年
839,光緒三十一年
840,有機物的極性很弱
841,多明尼加
842,工業
843,東京
844,馬克·巴特勒
845,金字塔形
846,銀牌
847,尼古拉·車爾尼雪夫斯基
848,1949年
849,服務經營權
850,[UNK]
851,馬昭智
852,泰晤士河
853,第48個
854,輕鐵
855,楊惠之
856,0.74
857,高句麗古墓壁畫
858,奧州合戰
859,紐西蘭
860,150個
861,荷馬
862,河姆渡
863,國民政府軍
864,1933年
865,波音777
866,十
867,塔克
868,1800
869,淨加熱
870,東突厥汗國
871,法製
872,浣熊科
873,蒙古高壓
874,大連
875,人民委員會
876,古典自由主義
877,朱齡石
878,一號
879,5
880,杜羅河
881,1960年
882,大衛休謨
883,校長
884,香港中文大學
885,2004年
886,蒙古人
887,《自然科學史》
888,一隊小樂隊
889,2000年
890,國內生產總值按國際匯率計算在世界排名
891,議政王
892,十年
893,威爾斯親王杯
894,20.09萬公頃
895,1911年
896,羅馬
897,1971年
898,前38年
899,地方色彩
900,懷疑論
901,自由經濟主義
902,教會與國家分離
903,非洲屋脊
904,舍爾沙
905,北美
906,下降
907,奈洛比
908,產地
909,德國
910,梁啟超
911,明太祖
912,洛陽銀行
913,第三
914,內遷的北方遊牧民族造反
915,葡萄牙
916,哈得孫灣公司
917,汽油機
918,心理系
919,由北洋勢力、討袁勢力及其他地方勢力經過各種分化組合而形成的地方軍閥勢力崛起
920,1942年
921,大村純忠
922,21.28平方公里
923,廣西第七軍
924,英國
925,雄性
926,紅五軍軍長
927,1798年
928,容祖兒
929,香港市民對政府不滿
930,劉備
931,第22個
932,中原油田
933,《六祖壇經》
934,斐迪南大公
935,大隈重信
936,政治合作協議
937,東經
938,古[UNK]城
939,《四庫全書》
940,奈洛比全面協定
941,間接優化法
942,半總統制
943,光緒十二年十一月初六
944,削擊
945,晉州
946,1949年
947,電郵門事件
948,1857年
949,五十六年
950,脈搏
951,常常會因為其後代無法適應新環境而滅絕
952,冀州
953,二十四分鐘
954,《自然》
955,對光的折射定律提出了理論論證
956,10月
957,陳西瀅
958,羅馬宗座
959,一條天皇時期
960,涿鹿之戰
961,金剛經
962,1923年
963,鴨洲
964,彼得
965,核糖核酸
966,鄂霍次克海
967,加拿大西部市場
968,200
969,受到連串醜聞的打擊
970,香港國際機場
971,祖師觀血案
972,盧武鉉
973,維德曼[UNK]夫蘭茲定理
974,下議院
975,總統
976,越高
977,陶鑄
978,欽天監
979,西奧多·赫茨爾
980,1279年
981,電子產業
982,民國15年
983,冬天
984,新市鎮
985,大連市
986,台中金剛隊
987,東海大學
988,中立國遣返委員會
989,工具書
990,拉美裔人
991,16世紀
992,希羅多德時代
993,甲午戰爭
994,辯論擊敗佛教
995,日本
996,1994年6月
997,元代
998,37歲
999,神農本草經
